Sr.,Date,Country,City,Product_Name,Product_link,Price,Price_per_unit,Available_Packing
1,3/3/2023,USA,New Mexico,"Green Giant Corn On The Cob, Extra Sweet Mini Ears, Frozen, 12 Ct",https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=_G__SQgpWBf3Mbg6R52wK9ztTd3R38NLY3DHJ4WoDkJmJP-iws0ccixmxIMcHwZsAOxd4jznwxc-NNNYiUuIZ5_QyvBNBTTKYwWxV1mab6EN7t_R9bKIo19w7KOdOoqjpgpHYRzcdjsy2kVwn9x7vZpyBIhLqDqKnNISc6WVE9VeFW45UP_hVJqlcsoqhyCK&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=1&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGreen-Giant-Corn-On-The-Cob-Extra-Sweet-Mini-Ears-Frozen-12-Ct%2F10813651%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&couponState=na&athbdg=L1600,$4.93,41.1 ¢/ea,
2,3/3/2023,USA,New Mexico,"Gourmet Garden Chunky Garlic Stir-In Paste, 4 oz",https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=eLFi3Z45-CpVEhDzeynEv1NBBx_cRubGjrUkPEdwLzdCm3cb4EOmiq_QIu6cLSYZAOxd4jznwxc-NNNYiUuIZ4OX1XU3qv-9PARb45Tu8NkN7t_R9bKIo19w7KOdOoqjCikeRtKW4bWyZ0Lng942VTuYtFufcXr_GKdh1wadJ1PmqQDQYWU-KzBmECmgmLUV&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=2&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGourmet-Garden-Chunky-Garlic-Stir-In-Paste-4-oz%2F51259335%3FadsRedirect%3Dtrue&couponState=na&/ip/Gourmet-Garden-Chunky-Garlic-Stir-In-Paste-4-oz/51259335,$4.38,$1.10/oz,
3,3/3/2023,USA,New Mexico,Sweet Aperitif Heirloom Cherry Tomato Premium Seeds Packet - Sweetest Tomato in The World,https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=ZwUGuT9BXF9VVAAEmw1vjmtyi_7giIIXjDYobM4ekpmaM_a1KCDmqAqj6HvkGAE8LtkVDM_oaHq-TaMCXS_w0MHJuyiLaq7P5SwepARDBkyO3gSh1waR37BzEK8T7ygr8aXe6Cxa1Da9zzF5xkcpxQ5XZaXBKEWHeAJXeA1qhEP1LRFZkueEtcZXXbPONznU&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=3&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSweet-Aperitif-Heirloom-Cherry-Tomato-Premium-Seeds-Packet-Sweetest-Tomato-in-The-World%2F959621175%3FadsRedirect%3Dtrue&couponState=na&/ip/Sweet-Aperitif-Heirloom-Cherry-Tomato-Premium-Seeds-Packet-Sweetest-Tomato-in-The-World/959621175,$3.99,+$4.10 shipping,
4,3/3/2023,USA,New Mexico,Sunrise Yellow and Red Bumblebee Heirloom Cherry Tomato Premium Seeds Packet,https://wrd.walmart.com/track?adUid=fee6fbf7-df47-4e96-b04c-5cd6492d508f&tax=976759_976793_8910423&pltfm=desktop&pgId=976759_976793_8910423&spQs=8M7ccKC5fLDV6ggNs7GS3Wtyi_7giIIXjDYobM4ekpmaM_a1KCDmqAqj6HvkGAE8tRGhA6krG8tdLm7wgi-CGmhRe8YDHvGVs-JAIij-e5kee28t8wYZLuCmRAkFnB7vkCUYRAETkTJeca4FM7BG3T_gx_U40_1XnmRoa6vlhjiByIkYeOdmSpIe7OZ7AfOq&storeId=3081&pt=browse&mloc=sp-browse-middle&bkt=2719&rdf=1&plmt=sp-browse-middle~desktop~&eventST=click&pos=4&bt=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSunrise-Yellow-and-Red-Bumblebee-Heirloom-Cherry-Tomato-Premium-Seeds-Packet%2F236233732%3FadsRedirect%3Dtrue&couponState=na&/ip/Sunrise-Yellow-and-Red-Bumblebee-Heirloom-Cherry-Tomato-Premium-Seeds-Packet/236233732,$3.99,+$4.10 shipping,
5,3/3/2023,USA,New Mexico,Sweet Potatoes Per Pound,https://www.walmart.com/ip/Sweet-Potatoes-Per-Pound/44390964?athbdg=L1600,,$1.30/lb,each
6,3/3/2023,USA,New Mexico,BEANS GREEN 32OZ,https://www.walmart.com/ip/BEANS-GREEN-32OZ/16401583,$6.18,19.3 ¢/oz,
7,3/3/2023,USA,New Mexico,"Russet Potatoes, 10 lb Bag",https://www.walmart.com/ip/Russet-Potatoes-10-lb-Bag/10449951?athbdg=L1600,$5.77,57.7 ¢/lb,
8,3/3/2023,USA,New Mexico,"Russet Baking Potatoes, each",https://www.walmart.com/ip/Russet-Baking-Potatoes-each/44391004?athbdg=L1600,$0.92,$1.08/lb,each
9,3/3/2023,USA,New Mexico,"Asparagus, Bunch",https://www.walmart.com/ip/Asparagus-Bunch/44390952?athbdg=L1600,$2.98,,
10,3/3/2023,USA,New Mexico,Freshness Guaranteed Sliced White Mushrooms 8oz,https://www.walmart.com/ip/Freshness-Guaranteed-Sliced-White-Mushrooms-8oz/10449184?athbdg=L1600,$2.18,27.3 ¢/oz,
11,3/3/2023,USA,New Mexico,"Whole Carrots, 16 Oz bag",https://www.walmart.com/ip/Whole-Carrots-16-Oz-bag/44391515,$0.98,98.0 ¢/lb,
12,3/3/2023,USA,New Mexico,"Fresh Cucumber, Each",https://www.walmart.com/ip/Fresh-Cucumber-Each/44390954,$0.68,,
13,3/3/2023,USA,New Mexico,"Fresh Green Bell Pepper, Each",https://www.walmart.com/ip/Fresh-Green-Bell-Pepper-Each/44390945,$0.68,,
14,3/3/2023,USA,New Mexico,"Grape Tomato, 10 oz Package",https://www.walmart.com/ip/Grape-Tomato-10-oz-Package/10451313,,23.7 ¢/oz,
15,3/3/2023,USA,New Mexico,"Boskovich Farms Iceberg Lettuce, Fresh Produce, USA Grown, 1 Head",https://www.walmart.com/ip/Boskovich-Farms-Iceberg-Lettuce-Fresh-Produce-USA-Grown-1-Head/10402650,$1.68,,
16,3/3/2023,USA,New Mexico,"Fresh Roma Tomato, Each",https://www.walmart.com/ip/Fresh-Roma-Tomato-Each/44390944?athbdg=L1200,$0.38,$1.28/lb,each
17,3/3/2023,USA,New Mexico,"Green Onions, Bunch",https://www.walmart.com/ip/Green-Onions-Bunch/51259361,$0.88,,
18,3/3/2023,USA,New Mexico,"Marketside Organic Baby Spinach, 16 Oz",https://www.walmart.com/ip/Marketside-Organic-Baby-Spinach-16-Oz/36240078,$5.13,32.1 ¢/oz,
19,3/3/2023,USA,New Mexico,"Broccoli Crowns, per lb",https://www.walmart.com/ip/Broccoli-Crowns-per-lb/51259378,$1.48,$1.97/ea,each
20,3/3/2023,USA,New Mexico,"Baby Carrots, 1lb Bag",https://www.walmart.com/ip/Baby-Carrots-1lb-Bag/10451315,$0.98,6.1 ¢/oz,
21,3/3/2023,USA,New Mexico,"Fresh Zucchini Squash, Each",https://www.walmart.com/ip/Fresh-Zucchini-Squash-Each/44390947,$0.93,$1.48/lb,each
22,3/3/2023,USA,New Mexico,"Marketside Organic Green Beans, 12 oz",https://www.walmart.com/ip/Marketside-Organic-Green-Beans-12-oz/678936555,$4.18,34.8 ¢/oz,
23,3/3/2023,USA,New Mexico,Celery Stalk,https://www.walmart.com/ip/Celery-Stalk/51259411,$1.74,,
24,3/3/2023,USA,New Mexico,"Russet Potatoes, 5 lb Bag",https://www.walmart.com/ip/Russet-Potatoes-5-lb-Bag/10447837,$3.47,69.4 ¢/lb,
25,3/3/2023,USA,New Mexico,"Sweet Corn On The Cob, Fresh Corn, 1 ea",https://www.walmart.com/ip/Sweet-Corn-On-The-Cob-Fresh-Corn-1-ea/44391430,$0.60,,
26,3/3/2023,USA,New Mexico,Yellow Onions 3 lb Bag,https://www.walmart.com/ip/Yellow-Onions-3-lb-Bag/10447842,$2.24,74.7 ¢/lb,
27,3/3/2023,USA,New Mexico,"Green Cabbage, Head",https://www.walmart.com/ip/Green-Cabbage-Head/44391042,$3.28,82.0 ¢/lb,each
28,3/3/2023,USA,New Mexico,"Tomato on the Vine, Bag",https://www.walmart.com/ip/Tomato-on-the-Vine-Bag/44390955,$1.98,$1.98/lb,each
29,3/3/2023,USA,New Mexico,"Fresh Red Onions, Each",https://www.walmart.com/ip/Fresh-Red-Onions-Each/51259215,$0.78,98.0 ¢/lb,each
30,3/3/2023,USA,New Mexico,"Yellow Onions, Each",https://www.walmart.com/ip/Yellow-Onions-Each/51259212,$0.62,78.0 ¢/lb,each
31,3/3/2023,USA,New Mexico,"Marketside Fresh Spinach Salad, 10 oz",https://www.walmart.com/ip/Marketside-Fresh-Spinach-Salad-10-oz/13893738,$2.28,22.8 ¢/oz,
32,3/3/2023,USA,New Mexico,"Fresh Mini Cucumber, 1 Pound Bag",https://www.walmart.com/ip/Fresh-Mini-Cucumber-1-Pound-Bag/44419690,$1.97,12.3 ¢/oz,
33,3/3/2023,USA,New Mexico,"Romaine Lettuce Hearts, 3 Pack",https://www.walmart.com/ip/Romaine-Lettuce-Hearts-3-Pack/10532755,$2.88,,
34,3/3/2023,USA,New Mexico,"Slicing Tomato, Each",https://www.walmart.com/ip/Slicing-Tomato-Each/44390971,,$1.28/lb,each
35,3/3/2023,USA,New Mexico,"Fresh Color Bell Peppers, 3 Count",https://www.walmart.com/ip/Fresh-Color-Bell-Peppers-3-Count/47770124,$3.44,$1.15/ea,
36,3/3/2023,USA,New Mexico,"Fresh Yellow Squash, Each",https://www.walmart.com/ip/Fresh-Yellow-Squash-Each/44391040,$0.89,$1.48/lb,each
37,3/3/2023,USA,New Mexico,"Fresh Mini Sweet Peppers, 16 Ounce Bag",https://www.walmart.com/ip/Fresh-Mini-Sweet-Peppers-16-Ounce-Bag/10324377,$2.98,18.6 ¢/oz,
38,3/3/2023,USA,New Mexico,Cauliflower,https://www.walmart.com/ip/Cauliflower/10402652,$2.68,,
39,3/3/2023,USA,New Mexico,"Garlic Bulb, Each",https://www.walmart.com/ip/Garlic-Bulb-Each/44391100,$0.67,$4.48/lb,each
40,3/3/2023,USA,New Mexico,"Fresh Long English Cucumber, Each",https://www.walmart.com/ip/Fresh-Long-English-Cucumber-Each/44390996,$0.98,,
41,3/3/2023,USA,New Mexico,"Slicing Tomato, 3 Pack",https://www.walmart.com/ip/Slicing-Tomato-3-Pack/15724257,$1.50,15.0 ¢/oz,
42,3/3/2023,USA,New Mexico,"Fresh Collard Greens, Bunch, 1 Each",https://www.walmart.com/ip/Fresh-Collard-Greens-Bunch-1-Each/44391317,,,
43,3/3/2023,USA,New Mexico,"Fresh Turnip Greens, Bunch, 1 Each",https://www.walmart.com/ip/Fresh-Turnip-Greens-Bunch-1-Each/189452883,,,
44,3/3/2023,USA,New Mexico,"Broccoli Bunch, Each",https://www.walmart.com/ip/Broccoli-Bunch-Each/51259307,,,
